Id,Values_Code,Values_Name,Values_Activity,Values_OperStartdate,Values_State,Date
Sistema,TADG,EL TAMARINDO SOLAR S.A.S. E.S.P.,GENERACIÓN,2025-07-25,OPERACION,2026-08-20
Sistema,CTEG,COENERGIA S.A.S. E.S.P.,GENERACIÓN,2025-07-21,OPERACION,2026-08-20
Sistema,CTEC,COENERGIA S.A.S. E.S.P.,COMERCIALIZACIÓN,2025-06-27,OPERACION,2026-08-20
Sistema,APMC,AMPERIUM ENERGY E.S.P S.A.S.,COMERCIALIZACIÓN,2025-06-26,OPERACION,2026-08-20
Sistema,ESNG,ES INVEST COLOMBIA S.A.S. ESP,GENERACIÓN,2025-06-25,OPERACION,2026-08-20
Sistema,CERG,CEE ENERGY SAS ESP,GENERACIÓN,2025-06-16,OPERACION,2026-08-20
Sistema,EVSC,EMPRESA DE ENERGIA DEL VALLE DE SIBUNDOY S.A. E.S.P.,COMERCIALIZACIÓN,2025-06-12,OPERACION,2026-08-20
Sistema,ESNC,ES INVEST COLOMBIA S.A.S. ESP,COMERCIALIZACIÓN,2025-05-29,OPERACION,2026-08-20
Sistema,SEJC,SOL DEL EJE S.A.S E.S.P,COMERCIALIZACIÓN,2025-05-29,OPERACION,2026-08-20
Sistema,OTAG,OTACC GENERACION S.A.S. E.S.P.,GENERACIÓN,2025-05-12,OPERACION,2026-08-20
Sistema,DUCG,DUCK ENERGY S.A.S. ESP,GENERACIÓN,2025-04-30,OPERACION,2026-08-20
Sistema,ITLC,ITALCOL ENERGIA S.A. E.S.P.,COMERCIALIZACIÓN,2025-04-22,OPERACION,2026-08-20
Sistema,STOC,STOCK ENERGY SAS ESP,COMERCIALIZACIÓN,2025-04-03,OPERACION,2026-08-20
Sistema,EGRC,4E GROUP S.A.S E.S.P.,COMERCIALIZACIÓN,2025-02-28,OPERACION,2026-08-20
Sistema,GRCG,GR POWER COLOMBIA S.A.S E.S.P.,GENERACIÓN,2025-02-12,OPERACION,2026-08-20
Sistema,GRCC,GR POWER COLOMBIA S.A.S E.S.P.,COMERCIALIZACIÓN,2025-02-12,OPERACION,2026-08-20
Sistema,DMRC,DEMAND RESPONSE SAS ESP,COMERCIALIZACIÓN,2025-02-06,OPERACION,2026-08-20
Sistema,CTCG,CENTRAL TERMOCARTAGENA SAS ESP,GENERACIÓN,2025-02-05,OPERACION,2026-08-20
Sistema,ECBG,ECOARDOBELA I S.A.S. E.S.P.,GENERACIÓN,2025-01-29,OPERACION,2026-08-20
Sistema,COGC,COMERCIALIZADORA 4G ENERGIA SAS ESP,COMERCIALIZACIÓN,2025-01-27,OPERACION,2026-08-20
Sistema,COGG,COMERCIALIZADORA 4G ENERGIA SAS ESP,GENERACIÓN,2025-01-27,OPERACION,2026-08-20
Sistema,CHCC,CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BENEFICIO E INTERES COLECTIVO,COMERCIALIZACIÓN,2025-01-15,OPERACION,2026-08-20
Sistema,CHCD,CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BENEFICIO E INTERES COLECTIVO,DISTRIBUCIÓN,2025-01-15,OPERACION,2026-08-20
Sistema,CHCT,CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P. BENEFICIO E INTERES COLECTIVO,TRANSPORTE,2025-01-15,OPERACION,2026-08-20
Sistema,SPKG,ZELESTRA COLOMBIA S.A.S. E.S.P.,GENERACIÓN,2025-01-14,OPERACION,2026-08-20
Sistema,DTEC,2T ENERGY S.A.S. E.S.P.,COMERCIALIZACIÓN,2024-12-27,OPERACION,2026-08-20
Sistema,TMFG,ENFRAGEN TERMOFLORES S.A.S. E.S.P.,GENERACIÓN,2024-11-26,OPERACION,2026-08-20
Sistema,TMVG,ENFRAGEN TERMOVALLE S.A.S. EMPRESA DE SERVICIOS PUBLICOS,GENERACIÓN,2024-11-21,OPERACION,2026-08-20
Sistema,IMDC,I + D ENERGY S.A.S ESP,COMERCIALIZACIÓN,2024-11-12,INACTIVO,2026-08-20
Sistema,SGMC,SIGMA2 COMERCIALIZADORA  DE ENERGIA ELECTRICA SAS ESP,COMERCIALIZACIÓN,2024-11-08,OPERACION,2026-08-20
Sistema,SGMG,SIGMA2 COMERCIALIZADORA  DE ENERGIA ELECTRICA SAS ESP,GENERACIÓN,2024-11-08,OPERACION,2026-08-20
Sistema,MATG,PROYECTO SOLAR MATIMBA II S.A.S ESP,GENERACIÓN,2024-10-11,OPERACION,2026-08-20
